date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend,week_of_year
2020-12-17,2020,4,12,December,17,3,Thursday,False,51
2020-12-18,2020,4,12,December,18,4,Friday,False,51
2020-12-19,2020,4,12,December,19,5,Saturday,True,51
2020-12-20,2020,4,12,December,20,6,Sunday,True,51
2020-12-21,2020,4,12,December,21,0,Monday,False,52
2020-12-22,2020,4,12,December,22,1,Tuesday,False,52
2020-12-23,2020,4,12,December,23,2,Wednesday,False,52
2020-12-24,2020,4,12,December,24,3,Thursday,False,52
2020-12-25,2020,4,12,December,25,4,Friday,False,52
2020-12-26,2020,4,12,December,26,5,Saturday,True,52
2020-12-27,2020,4,12,December,27,6,Sunday,True,52
2020-12-28,2020,4,12,December,28,0,Monday,False,53
2020-12-29,2020,4,12,December,29,1,Tuesday,False,53
2020-12-30,2020,4,12,December,30,2,Wednesday,False,53
2020-12-31,2020,4,12,December,31,3,Thursday,False,53
2021-01-01,2021,1,1,January,1,4,Friday,False,53
2021-01-02,2021,1,1,January,2,5,Saturday,True,53
2021-01-03,2021,1,1,January,3,6,Sunday,True,53
2021-01-04,2021,1,1,January,4,0,Monday,False,1
2021-01-05,2021,1,1,January,5,1,Tuesday,False,1
2021-01-06,2021,1,1,January,6,2,Wednesday,False,1
2021-01-07,2021,1,1,January,7,3,Thursday,False,1
2021-01-08,2021,1,1,January,8,4,Friday,False,1
2021-01-09,2021,1,1,January,9,5,Saturday,True,1
2021-01-10,2021,1,1,January,10,6,Sunday,True,1
2021-01-11,2021,1,1,January,11,0,Monday,False,2
2021-01-12,2021,1,1,January,12,1,Tuesday,False,2
2021-01-13,2021,1,1,January,13,2,Wednesday,False,2
2021-01-14,2021,1,1,January,14,3,Thursday,False,2
2021-01-15,2021,1,1,January,15,4,Friday,False,2
2021-01-16,2021,1,1,January,16,5,Saturday,True,2
2021-01-17,2021,1,1,January,17,6,Sunday,True,2
2021-01-18,2021,1,1,January,18,0,Monday,False,3
2021-01-19,2021,1,1,January,19,1,Tuesday,False,3
2021-01-20,2021,1,1,January,20,2,Wednesday,False,3
2021-01-21,2021,1,1,January,21,3,Thursday,False,3
2021-01-22,2021,1,1,January,22,4,Friday,False,3
2021-01-23,2021,1,1,January,23,5,Saturday,True,3
2021-01-24,2021,1,1,January,24,6,Sunday,True,3
2021-01-25,2021,1,1,January,25,0,Monday,False,4
2021-01-26,2021,1,1,January,26,1,Tuesday,False,4
2021-01-27,2021,1,1,January,27,2,Wednesday,False,4
2021-01-28,2021,1,1,January,28,3,Thursday,False,4
